Date,Average Temperature,AverageTemperatureUncertainty,Country
1960-06-01,16.904,0.254,Belgium
1965-06-01,15.76,0.518,Belgium
1970-06-01,17.88,0.265,Belgium
1975-06-01,15.58,0.275,Belgium
1980-06-01,15.074000000000002,0.14300000000000002,Belgium
1985-06-01,14.374,0.33299999999999996,Belgium
1990-06-01,15.443,0.272,Belgium
1995-06-01,15.178,0.16699999999999998,Belgium
2000-06-01,17.049,0.172,Belgium
2005-06-01,17.995,0.1,Belgium
2010-06-01,17.252,0.21899999999999997,Belgium
2013-06-01,15.827,0.252,Belgium
1950-06-01,26.604,0.425,Belize
1955-06-01,27.006,0.486,Belize
1960-06-01,27.394000000000002,0.503,Belize
1965-06-01,27.054000000000002,0.63,Belize
1970-06-01,27.446,0.484,Belize
1975-06-01,28.111,0.413,Belize
1980-06-01,26.932,0.298,Belize
1985-06-01,27.371,0.597,Belize
1990-06-01,26.915,0.4920000000000001,Belize
1995-06-01,27.788,0.28,Belize
2000-06-01,26.507,0.302,Belize
2005-06-01,27.905,0.32299999999999995,Belize
2010-06-01,28.292,0.28,Belize
2013-06-01,27.205,0.27,Belize
1950-06-01,27.352,0.281,Benin
1955-06-01,26.418000000000006,0.217,Benin
1960-06-01,26.857,0.32299999999999995,Benin
1965-06-01,26.632,0.621,Benin
1970-06-01,27.868000000000002,0.242,Benin
1975-06-01,26.985,0.244,Benin
1980-06-01,27.19,0.126,Benin
1985-06-01,27.334,0.38799999999999996,Benin
1990-06-01,27.8,0.299,Benin
1995-06-01,27.684,0.2,Benin
2000-06-01,27.271,0.259,Benin
2005-06-01,27.203000000000007,0.153,Benin
2010-06-01,27.836,0.284,Benin
2013-06-01,27.388,0.371,Benin
1950-06-01,17.209,0.28800000000000003,Bhutan
1955-06-01,17.046,0.33399999999999996,Bhutan
1960-06-01,18.096,0.276,Bhutan
1965-06-01,17.77,0.56,Bhutan
1970-06-01,17.624000000000006,0.262,Bhutan
1975-06-01,18.249,0.384,Bhutan
1980-06-01,17.820999999999994,0.23600000000000002,Bhutan
1985-06-01,17.873,0.436,Bhutan
1990-06-01,18.103,0.282,Bhutan
1995-06-01,18.311,0.248,Bhutan
2000-06-01,17.766,0.272,Bhutan
2005-06-01,18.029,0.32899999999999996,Bhutan
2010-06-01,17.861,0.353,Bhutan
2013-06-01,19.016,0.23600000000000002,Bhutan
1950-06-01,18.027,0.62,Bolivia
1955-06-01,18.58,0.23,Bolivia
1960-06-01,18.046,0.618,Bolivia
1965-06-01,19.38,0.368,Bolivia
1970-06-01,18.603,0.316,Bolivia
1975-06-01,18.57,0.374,Bolivia
1980-06-01,17.730999999999995,0.519,Bolivia
1985-06-01,18.572,0.26899999999999996,Bolivia
1990-06-01,17.463,0.332,Bolivia
1995-06-01,19.156,0.581,Bolivia
2000-06-01,17.692999999999994,0.21899999999999997,Bolivia
2005-06-01,19.225,0.28,Bolivia
2010-06-01,19.135,0.263,Bolivia
2013-06-01,18.831,0.354,Bolivia
1950-06-01,27.48,0.595,"Bonaire, Saint Eustatius And Saba"
1955-06-01,27.926,0.633,"Bonaire, Saint Eustatius And Saba"
1960-06-01,28.605999999999998,0.36200000000000004,"Bonaire, Saint Eustatius And Saba"
1965-06-01,27.724,0.317,"Bonaire, Saint Eustatius And Saba"
1970-06-01,28.506999999999998,0.373,"Bonaire, Saint Eustatius And Saba"
1975-06-01,28.36,0.494,"Bonaire, Saint Eustatius And Saba"
1980-06-01,28.848000000000006,0.20600000000000002,"Bonaire, Saint Eustatius And Saba"
1985-06-01,28.263,0.415,"Bonaire, Saint Eustatius And Saba"
1990-06-01,28.679,0.262,"Bonaire, Saint Eustatius And Saba"
1995-06-01,28.944000000000006,0.243,"Bonaire, Saint Eustatius And Saba"
2000-06-01,28.228,0.3,"Bonaire, Saint Eustatius And Saba"
2005-06-01,29.320999999999998,0.37799999999999995,"Bonaire, Saint Eustatius And Saba"
2010-06-01,29.247,0.344,"Bonaire, Saint Eustatius And Saba"
2013-06-01,28.929,0.35600000000000004,"Bonaire, Saint Eustatius And Saba"
1950-06-01,20.164,0.315,Bosnia And Herzegovina
1955-06-01,17.993,0.306,Bosnia And Herzegovina
1960-06-01,18.472,0.48200000000000004,Bosnia And Herzegovina
1965-06-01,18.148,0.478,Bosnia And Herzegovina
1970-06-01,18.848,0.381,Bosnia And Herzegovina
1975-06-01,17.517999999999994,0.18,Bosnia And Herzegovina
1980-06-01,17.381999999999998,0.389,Bosnia And Herzegovina
1985-06-01,17.078,0.27,Bosnia And Herzegovina
1990-06-01,18.561,0.48100000000000004,Bosnia And Herzegovina
1995-06-01,17.796999999999993,0.14400000000000002,Bosnia And Herzegovina
2000-06-01,20.603,0.46,Bosnia And Herzegovina
2005-06-01,18.599,0.409,Bosnia And Herzegovina
2010-06-01,19.315,0.361,Bosnia And Herzegovina
2013-06-01,19.24,0.41100000000000003,Bosnia And Herzegovina
1950-06-01,16.149,0.316,Botswana
1955-06-01,15.249,0.32799999999999996,Botswana
1960-06-01,15.003,0.452,Botswana
1965-06-01,14.125,0.579,Botswana
1970-06-01,15.880999999999998,0.259,Botswana
1975-06-01,15.375,0.451,Botswana
1980-06-01,14.451,0.18,Botswana
1985-06-01,15.493,0.306,Botswana
1990-06-01,17.497,0.322,Botswana
1995-06-01,15.732000000000001,0.28,Botswana
2000-06-01,16.401,0.24100000000000002,Botswana
2005-06-01,18.045,0.5770000000000001,Botswana
2010-06-01,15.065,0.6579999999999999,Botswana
2013-06-01,16.939,0.57,Botswana
1950-06-01,23.481,0.33,Brazil
1955-06-01,23.73,0.24,Brazil
1960-06-01,23.38000000000001,0.537,Brazil
1965-06-01,23.894000000000002,0.409,Brazil
1970-06-01,24.056,0.281,Brazil
1975-06-01,23.535,0.311,Brazil
1980-06-01,23.861,0.184,Brazil
1985-06-01,23.036,0.297,Brazil
1990-06-01,23.863000000000003,0.35600000000000004,Brazil
1995-06-01,24.184,0.289,Brazil
2000-06-01,24.268,0.24600000000000002,Brazil
2005-06-01,24.962,0.18899999999999997,Brazil
2010-06-01,24.59,0.20800000000000002,Brazil
2013-06-01,24.788,0.251,Brazil
1950-06-01,27.217,0.281,British Virgin Islands
1955-06-01,27.594,0.319,British Virgin Islands
1960-06-01,28.102,0.3720000000000001,British Virgin Islands
1965-06-01,27.088,0.47700000000000004,British Virgin Islands
1970-06-01,27.506999999999998,0.406,British Virgin Islands
1975-06-01,27.675,0.258,British Virgin Islands
1980-06-01,28.386,0.191,British Virgin Islands
1985-06-01,28.084,0.353,British Virgin Islands
1990-06-01,27.933000000000003,0.34700000000000003,British Virgin Islands
1995-06-01,28.497,0.20600000000000002,British Virgin Islands
2000-06-01,27.761,0.266,British Virgin Islands
2005-06-01,28.808000000000003,0.213,British Virgin Islands
2010-06-01,28.785,0.278,British Virgin Islands
2013-06-01,28.021,0.546,British Virgin Islands
1950-06-01,19.371,0.382,Bulgaria
1955-06-01,18.389,0.24600000000000002,Bulgaria
1960-06-01,18.261,0.353,Bulgaria
1965-06-01,19.317,0.429,Bulgaria
1970-06-01,18.673,0.276,Bulgaria
1975-06-01,19.152,0.139,Bulgaria
1980-06-01,18.371,0.325,Bulgaria
1985-06-01,18.322,0.39399999999999996,Bulgaria
1990-06-01,19.034,0.397,Bulgaria
1995-06-01,20.267,0.266,Bulgaria
2000-06-01,20.154,0.237,Bulgaria
2005-06-01,18.293,0.21,Bulgaria
2010-06-01,19.811,0.297,Bulgaria
2013-06-01,20.133,0.42100000000000004,Bulgaria
1950-06-01,29.875,0.21899999999999997,Burkina Faso
1955-06-01,28.658,0.235,Burkina Faso
1960-06-01,29.326999999999998,0.23600000000000002,Burkina Faso
1965-06-01,29.033,0.5720000000000001,Burkina Faso
1970-06-01,30.583,0.191,Burkina Faso
1975-06-01,29.771,0.33,Burkina Faso
1980-06-01,29.635,0.16,Burkina Faso
1985-06-01,30.002,0.547,Burkina Faso
1990-06-01,30.053,0.243,Burkina Faso
1995-06-01,30.197,0.299,Burkina Faso
2000-06-01,29.581,0.27899999999999997,Burkina Faso
2005-06-01,29.596,0.22899999999999998,Burkina Faso
2010-06-01,30.13,0.23600000000000002,Burkina Faso
2013-06-01,30.313,0.37,Burkina Faso
1950-06-01,26.430999999999997,0.285,Burma
1955-06-01,25.95,0.188,Burma
1960-06-01,26.683000000000003,0.331,Burma
1965-06-01,26.12,0.528,Burma
1970-06-01,26.524,0.268,Burma
1975-06-01,26.241999999999997,0.405,Burma
1980-06-01,26.337,0.354,Burma
1985-06-01,25.853,0.33299999999999996,Burma
1990-06-01,26.229,0.282,Burma
1995-06-01,26.669,0.262,Burma
2000-06-01,26.11,0.225,Burma
2005-06-01,27.21,0.225,Burma
2010-06-01,27.083,0.218,Burma
2013-06-01,27.168000000000006,0.359,Burma
1950-06-01,19.692,0.395,Burundi
1955-06-01,19.788,0.161,Burundi
1960-06-01,20.066,0.691,Burundi
1965-06-01,19.667,0.5329999999999999,Burundi
1970-06-01,19.829,0.419,Burundi
1975-06-01,19.791,0.27399999999999997,Burundi
1980-06-01,19.961,0.213,Burundi
1985-06-01,20.094,0.439,Burundi
1990-06-01,20.882,0.373,Burundi
1995-06-01,20.453,0.14300000000000002,Burundi
2000-06-01,20.521,0.633,Burundi
2005-06-01,21.366,0.898,Burundi
2010-06-01,20.935,0.40700000000000003,Burundi
2013-06-01,20.552,0.852,Burundi
1950-06-01,25.679,0.196,Côte D'Ivoire
1955-06-01,25.472,0.152,Côte D'Ivoire
1960-06-01,25.730999999999998,0.354,Côte D'Ivoire
1965-06-01,25.486,0.449,Côte D'Ivoire
1970-06-01,26.195999999999998,0.23399999999999999,Côte D'Ivoire
1975-06-01,25.844,0.244,Côte D'Ivoire
1980-06-01,26.152,0.278,Côte D'Ivoire
1985-06-01,25.697,0.436,Côte D'Ivoire
1990-06-01,26.367,0.302,Côte D'Ivoire
1995-06-01,26.479,0.23,Côte D'Ivoire
2000-06-01,25.92,0.299,Côte D'Ivoire
2005-06-01,26.089,0.231,Côte D'Ivoire
2010-06-01,26.73,0.35200000000000004,Côte D'Ivoire
2013-06-01,26.391,0.45,Côte D'Ivoire
1950-06-01,27.182,0.21600000000000005,Cambodia
1955-06-01,27.215999999999998,0.165,Cambodia
1960-06-01,27.768,0.265,Cambodia
1965-06-01,27.385,0.364,Cambodia
1970-06-01,27.706,0.267,Cambodia
1975-06-01,27.123,0.18100000000000002,Cambodia
1980-06-01,27.406,0.345,Cambodia
1985-06-01,27.493,0.361,Cambodia
1990-06-01,27.9,0.284,Cambodia
1995-06-01,28.259,0.21,Cambodia
2000-06-01,27.392,0.349,Cambodia
2005-06-01,28.574,0.168,Cambodia
2010-06-01,28.851,0.161,Cambodia
2013-06-01,28.236,0.27699999999999997,Cambodia
1950-06-01,24.876,0.348,Cameroon
1955-06-01,23.915,0.174,Cameroon
1960-06-01,24.355,0.209,Cameroon
1965-06-01,24.246,0.409,Cameroon
1970-06-01,24.662,0.29600000000000004,Cameroon
1975-06-01,24.285999999999998,0.242,Cameroon
1980-06-01,24.662,0.248,Cameroon
1985-06-01,24.122,0.33799999999999997,Cameroon
1990-06-01,24.953000000000007,0.425,Cameroon
1995-06-01,24.682,0.37,Cameroon
2000-06-01,24.28,0.469,Cameroon
2005-06-01,24.58,0.792,Cameroon
2010-06-01,25.068,0.406,Cameroon
2013-06-01,24.694000000000006,0.38,Cameroon
1950-06-01,8.949,0.255,Canada
1955-06-01,10.792,0.249,Canada
1960-06-01,9.943,0.34700000000000003,Canada
1965-06-01,8.673,0.4320000000000001,Canada
1970-06-01,9.824,0.365,Canada
1975-06-01,10.761,0.21,Canada
1980-06-01,9.305,0.303,Canada
1985-06-01,9.324,0.273,Canada
1990-06-01,9.739,0.42200000000000004,Canada
1995-06-01,11.296,0.222,Canada
2000-06-01,8.958,0.17800000000000002,Canada
2005-06-01,10.221,0.174,Canada
2010-06-01,10.131,0.168,Canada
2013-06-01,10.8,0.298,Canada
1950-06-01,24.532,0.242,Cape Verde
1955-06-01,24.763,0.24100000000000002,Cape Verde
1960-06-01,24.108,0.355,Cape Verde
1965-06-01,24.151,0.474,Cape Verde
1970-06-01,24.748,0.42,Cape Verde
1975-06-01,24.263,1.171,Cape Verde
1980-06-01,25.094,1.534,Cape Verde
1985-06-01,24.84,1.24,Cape Verde
1990-06-01,24.915,0.501,Cape Verde
1995-06-01,25.548,0.35200000000000004,Cape Verde
2000-06-01,24.818,1.002,Cape Verde
2005-06-01,25.707,0.53,Cape Verde
2010-06-01,25.782,0.419,Cape Verde
2013-06-01,25.178,0.7829999999999999,Cape Verde
1950-06-01,28.088,0.28300000000000003,Cayman Islands
1955-06-01,28.328000000000007,0.39,Cayman Islands
